2025-09-25 12:29:13 | Cycle=159 | StarMAC=00:24:DD:01:F0:9D | TagID=17658109 | RSSI=-59.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=2 | LBI=2593 | CMD3=770006 | EKEY=0 | LF=2 | Status=00001010 | DevTS=2025-09-25 12:29:13
2025-09-25 12:29:16 | Cycle=160 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-51.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:16
2025-09-25 12:29:17 | Cycle=160 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:17
2025-09-25 12:29:17 | Cycle=160 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:17
2025-09-25 12:29:17 | Cycle=160 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:17
2025-09-25 12:29:18 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-54.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:18
2025-09-25 12:29:18 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-55.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:18
2025-09-25 12:29:18 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-54.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:18
2025-09-25 12:29:18 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-54.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:18
2025-09-25 12:29:18 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-51.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:18
2025-09-25 12:29:19 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:19
2025-09-25 12:29:19 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:19
2025-09-25 12:29:19 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:19
2025-09-25 12:29:19 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:19
2025-09-25 12:29:19 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-53.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:19
2025-09-25 12:29:20 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:20
2025-09-25 12:29:20 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:20
2025-09-25 12:29:20 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:20
2025-09-25 12:29:20 | Cycle=161 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:20
2025-09-25 12:29:20 | Cycle=162 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:20
